Fecha,Nivel Medio
2024-10-13 18:15:00,-0.928
2024-10-13 18:14:00,-0.929
2024-10-13 18:13:00,-0.931
2024-10-13 18:12:00,-0.931
2024-10-13 18:11:00,-0.932
2024-10-13 18:10:00,-0.931
2024-10-13 18:09:00,-0.929
2024-10-13 18:08:00,-0.929
2024-10-13 18:07:00,-0.931
2024-10-13 18:06:00,-0.931
2024-10-13 18:05:00,-0.932
2024-10-13 18:04:00,-0.934
2024-10-13 18:03:00,-0.937
2024-10-13 18:02:00,-0.939
2024-10-13 18:01:00,-0.945
2024-10-13 18:00:00,-0.949
2024-10-13 17:59:00,-0.948
2024-10-13 17:58:00,-0.95
2024-10-13 17:57:00,-0.948
2024-10-13 17:56:00,-0.945
2024-10-13 17:55:00,-0.944
2024-10-13 17:54:00,-0.941
2024-10-13 17:53:00,-0.939
2024-10-13 17:52:00,-0.934
2024-10-13 17:51:00,-0.925
2024-10-13 17:50:00,-0.923
2024-10-13 17:49:00,-0.915
2024-10-13 17:48:00,-0.909
2024-10-13 17:47:00,-0.904
2024-10-13 17:46:00,-0.899
2024-10-13 17:45:00,-0.892
2024-10-13 17:44:00,-0.886
2024-10-13 17:43:00,-0.881
2024-10-13 17:42:00,-0.876
2024-10-13 17:41:00,-0.875
2024-10-13 17:40:00,-0.87
2024-10-13 17:39:00,-0.865
2024-10-13 17:38:00,-0.859
2024-10-13 17:37:00,-0.855
2024-10-13 17:36:00,-0.851
2024-10-13 17:35:00,-0.848
2024-10-13 17:34:00,-0.843
2024-10-13 17:33:00,-0.836
2024-10-13 17:32:00,-0.833
2024-10-13 17:31:00,-0.832
2024-10-13 17:30:00,-0.83
2024-10-13 17:29:00,-0.83
2024-10-13 17:28:00,-0.83
2024-10-13 17:27:00,-0.828
2024-10-13 17:26:00,-0.83
2024-10-13 17:25:00,-0.832
2024-10-13 17:24:00,-0.836
2024-10-13 17:23:00,-0.835
2024-10-13 17:22:00,-0.838
2024-10-13 17:21:00,-0.833
2024-10-13 17:20:00,-0.828
2024-10-13 17:19:00,-0.826
2024-10-13 17:18:00,-0.821
2024-10-13 17:17:00,-0.817
2024-10-13 17:16:00,-0.812
2024-10-13 17:15:00,-0.805
2024-10-13 17:14:00,-0.795
2024-10-13 17:13:00,-0.788
2024-10-13 17:12:00,-0.784
2024-10-13 17:11:00,-0.778
2024-10-13 17:10:00,-0.775
2024-10-13 17:09:00,-0.769
2024-10-13 17:08:00,-0.764
2024-10-13 17:07:00,-0.756
2024-10-13 17:06:00,-0.746
2024-10-13 17:05:00,-0.738
2024-10-13 17:04:00,-0.733
2024-10-13 17:03:00,-0.724
2024-10-13 17:02:00,-0.714
2024-10-13 17:01:00,-0.708
2024-10-13 17:00:00,-0.698
2024-10-13 16:59:00,-0.688
2024-10-13 16:58:00,-0.682
2024-10-13 16:57:00,-0.671
2024-10-13 16:56:00,-0.665
2024-10-13 16:55:00,-0.659
2024-10-13 16:54:00,-0.657
2024-10-13 16:53:00,-0.655
2024-10-13 16:52:00,-0.654
2024-10-13 16:51:00,-0.655
2024-10-13 16:50:00,-0.647
2024-10-13 16:49:00,-0.644
2024-10-13 16:48:00,-0.642
